"sys1","sys2","sys3","sys4","sys5","sys6","sys7","sys8","sys9","sys10","sys11","sys12","sys13","sys14","sys15","sys16","sys17","sys18","sys19","sys20","sys21","sys22","sys23","sys24","sys25","sys27","sys28","sys30"
0.11652709,0.08724625,0.09380171,0.1018633,0.08972573,0.09812388,0.09035627,0.09655411,0.11745224,0.09158659,0.09263199,0.08390434,0.09611683,0.06918883,0.06654891,0.09291692,0.0970938,0.09024383,0.09757594,0.10325429,0.09823423,0.08120151,0.07220036,0.11542854,0.09077477,0.09859684,0.12098963,0.10047051
0.12028748,0.09473232,0.09114089,0.0948546,0.0928526,0.10426551,0.09542774,0.10192391,0.12066826,0.09697697,0.10355034,0.09457448,0.10090762,0.07417737,0.07258497,0.10102982,0.09993209,0.09463983,0.10394626,0.1040567,0.09957493,0.08417088,0.07230831,0.11966405,0.09915015,0.10195971,0.12416112,0.10424324
0.11481801,0.08760536,0.09425464,0.10193969,0.093957,0.0976362,0.09194393,0.09670269,0.11222418,0.09155311,0.09277052,0.08604115,0.09438413,0.06863628,0.07037356,0.09605981,0.09577088,0.08782799,0.09715892,0.10235146,0.09609649,0.08118034,0.07371731,0.11235219,0.09104736,0.0992583,0.12032407,0.09534911
0.11671171,0.08982983,0.08600119,0.09310149,0.08645441,0.09745041,0.09068168,0.09857232,0.11321673,0.09571947,0.09698698,0.08927527,0.09447158,0.07067066,0.06810081,0.09746818,0.09711808,0.09245637,0.09616768,0.0953638,0.08976733,0.07942999,0.07201185,0.11578554,0.09468748,0.09839815,0.1188428,0.09813269
0.11423824,0.09402754,0.091251,0.09801145,0.09474906,0.09499303,0.08990827,0.09480632,0.11780612,0.09996761,0.09768407,0.09421332,0.09703688,0.07517076,0.07396613,0.09343182,0.09621597,0.08723187,0.09827183,0.1037475,0.09982141,0.08278998,0.07066217,0.11430189,0.09547458,0.09798022,0.11955314,0.09982587
0.11167943,0.08796828,0.08937461,0.09738714,0.09469594,0.0943604,0.08939971,0.09530474,0.11044403,0.09611523,0.0964892,0.09294795,0.09888664,0.0703013,0.07003419,0.09216941,0.09724099,0.08744328,0.09688452,0.10062398,0.09624343,0.08053429,0.07102046,0.11014085,0.09246847,0.09560745,0.11627932,0.09567959
0.11578978,0.09262654,0.09447363,0.09995495,0.09465642,0.1014512,0.09134109,0.10266017,0.11875074,0.09851451,0.10291215,0.09229225,0.10002627,0.07401898,0.07405582,0.09864143,0.10139779,0.08989965,0.10124328,0.10217929,0.10144188,0.08694595,0.07316828,0.11321593,0.09640264,0.10299891,0.12257697,0.1035363
0.11915259,0.09449626,0.09301606,0.10167171,0.08871591,0.09784664,0.09316416,0.09830806,0.11584509,0.09664576,0.09894333,0.09202978,0.09485196,0.07108083,0.06840436,0.09486518,0.09778943,0.09077589,0.09890329,0.10238222,0.09731242,0.08313753,0.07238775,0.1228436,0.10074874,0.09816052,0.12187418,0.09850935
0.11334679,0.09466663,0.08924003,0.096408,0.09443908,0.09627227,0.08827752,0.09641978,0.11778858,0.09938089,0.10402002,0.09368645,0.09989073,0.07270309,0.07226177,0.1004444,0.10138978,0.09352103,0.10088864,0.10211395,0.09810547,0.08138362,0.07234546,0.11540324,0.09567086,0.10108884,0.1241001,0.10247031
0.11479095,0.08885189,0.09866663,0.10448223,0.09404379,0.09626457,0.08995395,0.09524163,0.12033809,0.09305184,0.09695339,0.09236011,0.09835335,0.07103019,0.06996788,0.09379504,0.09645289,0.08628403,0.09704415,0.10447984,0.09990887,0.07918603,0.06944223,0.11557393,0.0929467,0.10440597,0.11959796,0.10119636
0.11692793,0.08876908,0.08385469,0.09030214,0.09091466,0.09732833,0.09530246,0.10001873,0.11533965,0.10001101,0.09526301,0.08786065,0.09924315,0.07485502,0.07303508,0.09958695,0.09908283,0.09313472,0.10391583,0.10785745,0.0999636,0.08657758,0.07489849,0.11343895,0.09837637,0.10092697,0.12233578,0.09917017
0.11132908,0.09088768,0.09164601,0.09411187,0.09214458,0.09639551,0.08993745,0.09936047,0.11317669,0.09514666,0.09691466,0.08994094,0.09380419,0.07125121,0.06850527,0.0917121,0.09554594,0.08777177,0.09857649,0.10243007,0.09442522,0.08110542,0.07238758,0.1141089,0.09314826,0.09610426,0.11855631,0.09974679
0.11724596,0.08822534,0.09490366,0.10158158,0.0957129,0.09847463,0.09478579,0.09942173,0.11251226,0.09507426,0.09347844,0.09277052,0.09650751,0.07446405,0.07330305,0.09629909,0.09596072,0.08731015,0.09475075,0.10256087,0.09702333,0.08204836,0.07517902,0.11451971,0.09407358,0.10037116,0.12094413,0.09965481
