"sys1","sys2","sys3","sys4","sys5","sys6","sys7","sys8","sys9","sys10","sys11","sys12","sys13","sys14","sys15","sys16","sys17","sys18","sys19","sys20","sys21","sys22","sys23","sys24","sys25","sys27","sys28","sys30"
0.5849854,0.45905851,0.35092839,0.36057916,0.44980611,0.7154442,0.70519286,0.72496345,0.61034776,0.46104621,0.59786437,0.40124631,0.62131527,0.57341615,0.57496197,0.63583172,0.67174745,0.69684669,0.67405375,0.71671658,0.60889531,0.62427346,0.64724437,0.59577818,0.63429785,0.59780017,0.65743471,0.62844192
0.58061837,0.45644529,0.36803692,0.38453028,0.43510029,0.69496493,0.67608631,0.69502484,0.61826098,0.4613951,0.59061448,0.39842651,0.61273719,0.56643367,0.56765566,0.64178082,0.66592413,0.70559561,0.65677315,0.67925975,0.58921155,0.60279004,0.62482222,0.60447899,0.63465346,0.58286086,0.62106162,0.60786768
0.60585531,0.46309581,0.35124015,0.37409119,0.43161515,0.69152471,0.6862815,0.69830058,0.62540618,0.47206208,0.58836871,0.39113855,0.64306817,0.57402295,0.54641009,0.64624919,0.69337013,0.70860346,0.66389507,0.70253801,0.6112223,0.60568051,0.62328277,0.59005588,0.64309174,0.60790243,0.65475818,0.62776357
0.58524227,0.44948118,0.34857749,0.36118454,0.44200593,0.71399555,0.69370802,0.7086664,0.62888401,0.46570852,0.58801133,0.39515831,0.64318178,0.58257425,0.56398025,0.63359525,0.6838139,0.69417632,0.65076255,0.70449287,0.60808188,0.59594805,0.6297547,0.60306097,0.64055989,0.59272394,0.6459172,0.60892786
0.59566909,0.45342932,0.34306899,0.36983085,0.42772695,0.69202098,0.68353894,0.70661178,0.6311273,0.45258826,0.58859219,0.39096738,0.6394492,0.56500818,0.54686126,0.63611693,0.69224932,0.70907199,0.65890493,0.69333311,0.61359588,0.59078554,0.61834677,0.58216175,0.61878161,0.58697408,0.65270581,0.60404994
0.57737486,0.46442266,0.33836868,0.3597312,0.45430552,0.69688331,0.67730426,0.69457363,0.61824936,0.46139404,0.60163514,0.39776558,0.62240893,0.58978134,0.56186391,0.63599974,0.69187628,0.70765713,0.66754427,0.6955985,0.61201391,0.60513775,0.63337831,0.5874533,0.62151824,0.59666031,0.64545999,0.62348629
0.58774981,0.45131174,0.33545467,0.34889992,0.42848813,0.70992563,0.70195504,0.70618723,0.61275781,0.47270998,0.60989395,0.42597314,0.62600438,0.59911416,0.57387073,0.64571384,0.67723929,0.70707024,0.65853163,0.69364484,0.62631728,0.61408113,0.63697616,0.60363332,0.64754876,0.59911646,0.64271271,0.62387651
0.59878201,0.45768636,0.36794479,0.38166666,0.43822365,0.69064318,0.67724802,0.70048855,0.633291,0.46266571,0.59796672,0.41950391,0.63599731,0.58058916,0.56547382,0.64649185,0.68816054,0.70352823,0.65008133,0.70224305,0.61212292,0.59930275,0.62871086,0.60627858,0.64252931,0.59258687,0.65467742,0.60781765
0.59518264,0.44562355,0.36353694,0.37122778,0.44509173,0.71538853,0.70247451,0.72374435,0.60439119,0.46891652,0.60908898,0.41180391,0.6365618,0.59324115,0.57742121,0.65109011,0.68793617,0.70281078,0.65118846,0.70159799,0.60557545,0.63934161,0.65249705,0.61973272,0.65539164,0.59700924,0.64194979,0.62363715
0.593635,0.44045399,0.36586783,0.3799935,0.4342195,0.71643056,0.70428004,0.72241439,0.60966074,0.46097782,0.58108394,0.40707969,0.63347298,0.57152721,0.55871889,0.64723436,0.68006645,0.70095699,0.67066658,0.7106361,0.60701671,0.61580858,0.62933554,0.60199181,0.64118961,0.59190811,0.6493017,0.62751747
0.58723433,0.47273395,0.32254944,0.34595494,0.46156165,0.70347917,0.69190355,0.71114999,0.63346381,0.46651581,0.6039574,0.41455432,0.63018728,0.60183884,0.56609384,0.65006812,0.70569471,0.71140687,0.67357027,0.68994466,0.61437189,0.61283158,0.63871167,0.60471347,0.65597438,0.61495991,0.65564891,0.62720759
0.58443392,0.44776979,0.36446112,0.38349894,0.441831,0.70633117,0.6903349,0.7212035,0.61245972,0.46169125,0.60354298,0.40999032,0.62541153,0.56964901,0.55032081,0.62943289,0.67188625,0.7040456,0.66609533,0.69088123,0.61362857,0.62112545,0.65005138,0.57964523,0.62494759,0.59065274,0.64579154,0.62132343
