"sys1","sys2","sys3","sys4","sys5","sys6","sys7","sys8","sys9","sys10","sys11","sys12","sys13","sys14","sys15","sys16","sys17","sys18","sys19","sys20","sys21","sys22","sys23","sys24","sys25","sys27","sys28","sys30"
0.17189118,0.12495457,0.15759839,0.16466028,0.12611751,0.12477483,0.12861464,0.121169,0.16307433,0.13027002,0.15400426,0.12815779,0.16705225,0.15828552,0.16466138,0.13233613,0.1494882,0.12471515,0.13269628,0.13324421,0.13451783,0.14172752,0.14658946,0.1634681,0.16139626,0.14116996,0.16589249,0.16061215
0.17475537,0.12675824,0.16121222,0.17551692,0.12260261,0.13487721,0.13706919,0.13318081,0.16843133,0.13020407,0.15553992,0.13024243,0.16884656,0.1562595,0.16042786,0.1343682,0.1542689,0.12547477,0.13972903,0.14338734,0.14307743,0.14561497,0.14732736,0.16788329,0.16672716,0.13877537,0.16750215,0.16242442
0.16720892,0.12432988,0.15049089,0.16992509,0.11688384,0.13420925,0.1342368,0.13031693,0.16158507,0.13261534,0.15497434,0.12072365,0.16091047,0.16022722,0.15954586,0.13436415,0.14495728,0.1244473,0.14074431,0.13654368,0.13677769,0.14424455,0.14476528,0.15929843,0.16185418,0.14127544,0.16186006,0.15803967
0.16666415,0.11817208,0.15310096,0.15875227,0.11926488,0.12678235,0.12947898,0.12567641,0.15692904,0.13252388,0.15599041,0.13044164,0.16030089,0.15548946,0.15550046,0.13295285,0.14715745,0.12519714,0.13369561,0.1346602,0.13900305,0.14641483,0.14461414,0.16234316,0.16136546,0.14049491,0.15937817,0.15858999
0.16777361,0.12275922,0.14330612,0.16113782,0.11512192,0.13017248,0.13176421,0.13027846,0.16015048,0.13037069,0.15752344,0.12448801,0.16362643,0.15850263,0.16301377,0.13523263,0.14657115,0.12607198,0.13287923,0.13929534,0.13531069,0.14762646,0.14661922,0.16090213,0.16339925,0.13761687,0.16209774,0.16065243
0.1703713,0.12396869,0.1494784,0.1661259,0.12952775,0.13132918,0.13450937,0.12595535,0.16503286,0.12924525,0.15467057,0.12367454,0.16213483,0.15599347,0.15454265,0.13068381,0.1471305,0.12221136,0.13605693,0.13800298,0.13658295,0.14485264,0.14437126,0.1629566,0.16494693,0.13966894,0.16635348,0.16027369
0.17115192,0.11666565,0.15566226,0.16513635,0.11253932,0.13139568,0.13269778,0.12734068,0.15996902,0.13230979,0.15705309,0.1328208,0.16315684,0.15959515,0.16064554,0.13313614,0.14851072,0.12292086,0.13437017,0.13910531,0.14314432,0.14457672,0.14364301,0.16268538,0.16185845,0.14028224,0.16475894,0.15645188
0.17150462,0.12164029,0.15453162,0.16499574,0.1192189,0.13046638,0.13161747,0.1295954,0.16572507,0.12950054,0.15757286,0.13630133,0.16338587,0.15488795,0.15817735,0.12793973,0.14525565,0.12177172,0.13533837,0.1364556,0.13867522,0.14572829,0.14540898,0.16395215,0.16585088,0.13790095,0.16471609,0.15767932
0.16991758,0.12116299,0.15526071,0.1638796,0.12305446,0.1278212,0.13333396,0.12316095,0.16290469,0.13082483,0.15673781,0.12714986,0.16621282,0.15206607,0.15615239,0.13820386,0.14638932,0.12662414,0.13551811,0.13794986,0.13675269,0.14259855,0.14130051,0.15891427,0.16118115,0.13892531,0.16593791,0.1577728
0.17159194,0.1172608,0.15675219,0.16961557,0.12096041,0.12794787,0.13237048,0.12584737,0.1583603,0.13366189,0.15236401,0.13387474,0.16121588,0.15782641,0.16019536,0.13495229,0.1494781,0.12748106,0.13382679,0.13573048,0.13749078,0.14487805,0.1456023,0.16199983,0.16154779,0.13861716,0.1617183,0.15614099
0.17151722,0.12871346,0.13763092,0.15634489,0.12738687,0.13054503,0.13476032,0.12463229,0.15869106,0.13010894,0.15432637,0.13035825,0.16383365,0.1564033,0.15580057,0.13017531,0.14540062,0.1252289,0.1333431,0.14021701,0.13859177,0.1452182,0.14637171,0.16040681,0.15768343,0.13983356,0.16139523,0.1546175
